cedula,nombre_completo,fecha_nacimiento,sucursal,fecha_afiliacion
1700000366,Esteban Suárez Bravo,1969-12-30,Guayaquil,2009-05-15
1700000367,Luis Zambrano Mendoza,1997-08-26,Guayaquil,2013-04-20
1700000368,Diego Cedeño Villamar,1976-10-27,Guayaquil,2008-07-17
0100000369,Luis Cedeño Rodríguez,1968-02-24,Guayaquil,2006-06-09
0100000370,María Peña Salazar,2006-10-17,Guayaquil,2012-06-25
0100000371,Ana Bravo Chávez,2001-10-30,Quito,2021-04-02
1700000372,Fernando Chávez Villamar,1987-11-10,Guayaquil,2006-03-11
1700000373,Luis Zambrano Suárez,2010-05-08,Guayaquil,2006-06-02
0100000374,Daniela Vera Suárez,1955-01-31,Cuenca,2021-02-23
0900000375,Daniela Mendoza Loor,1972-05-08,Cuenca,2008-02-28
0900000376,Jorge Rodríguez Aguirre,1969-02-07,Quito,2015-05-20
0900000377,Valentina Suárez Suárez,2013-04-30,Guayaquil,2015-10-16
0900000378,Gabriela Mendoza Aguirre,1963-03-01,Quito,2014-11-01
0900000379,Xavier Bravo Salazar,1960-06-25,Guayaquil,2015-09-22
0900000380,Valentina Suárez Aguirre,1960-11-02,Guayaquil,2014-09-27
0100000381,Luis Suárez Aguirre,1992-09-12,Guayaquil,2014-08-01
0100000382,Jorge Salazar Peña,1973-04-17,Guayaquil,2021-02-02
1700000383,Luis Salazar Aguirre,1969-09-05,Cuenca,2006-09-30
1700000384,Camila Rodríguez Rodríguez,1984-04-07,Quito,2020-08-31
1700000385,Valentina Chávez Cárdenas,1996-07-09,Quito,2021-03-22
0100000386,Gabriela Rodríguez Suárez,1988-03-29,Guayaquil,2020-02-01
0900000387,Paula Rodríguez Salazar,1974-02-01,Cuenca,2008-03-21
0100000388,Ricardo Aguirre Villamar,1976-12-11,Quito,2007-07-09
1700000389,Carlos Mendoza Chávez,1959-06-01,Quito,2022-03-20
0100000390,Paula Vera Vera,1969-11-08,Quito,2024-07-04
0100000391,María Rodríguez Bravo,1966-09-28,Quito,2009-01-28
0900000392,Xavier Villamar Suárez,2007-04-03,Guayaquil,2019-10-11
1700000393,Carlos Chávez Villamar,2001-07-24,Quito,2022-03-30
1700000394,Esteban Rodríguez Rodríguez,1979-10-31,Guayaquil,2021-10-21
0100000395,Valentina Aguirre Zambrano,1988-03-24,Cuenca,2018-01-14
0100000396,Fernando Aguirre Aguirre,2002-07-24,Guayaquil,2018-09-08
0900000397,María Chávez Salazar,1968-05-13,Cuenca,2017-06-27
0900000398,Fernando Cedeño Peña,2013-12-05,Guayaquil,2006-04-03
0100000399,Paula Mendoza Rodríguez,1978-03-09,Quito,2006-01-25
0900000400,Ana Zambrano Salazar,2005-04-15,Guayaquil,2017-11-09
0100000401,Camila Rodríguez Chávez,2007-07-25,Guayaquil,2022-11-21
0900000402,María Cárdenas Zambrano,1985-01-22,Guayaquil,2016-12-22
0900000403,Esteban Cedeño Loor,1992-12-15,Quito,2006-05-12
1700000404,Ricardo Loor Rodríguez,1980-04-19,Cuenca,2020-09-20
1700000405,Patricia Aguirre Cárdenas,1983-11-04,Cuenca,2008-03-27
0900000406,Valentina Loor Bravo,1971-05-19,Guayaquil,2018-06-05
1700000407,Gabriela Bravo Chávez,2000-10-29,Quito,2021-03-04
1700000408,Mónica Suárez Zambrano,2008-10-10,Cuenca,2018-11-23
1700000409,Esteban Chávez Zambrano,2009-05-01,Cuenca,2005-09-04
0900000410,Paula Bravo Suárez,2007-09-07,Guayaquil,2013-11-29
1700000411,Andrés Zambrano Mendoza,2002-05-12,Cuenca,2013-06-29
1700000412,Luis Suárez Loor,1977-08-11,Quito,2007-10-15
1700000413,Paula Aguirre Vera,2012-05-17,Quito,2023-03-30
0100000414,Ricardo Bravo Rodríguez,1989-01-01,Cuenca,2010-09-01
0100000415,Ricardo Cedeño Suárez,1956-04-01,Cuenca,2024-11-20
0900000416,Iván Salazar Loor,2006-11-10,Guayaquil,2007-10-26
0900000417,María Cedeño Aguirre,1962-10-17,Cuenca,2008-03-13
0900000418,Esteban Rodríguez Chávez,1970-11-11,Guayaquil,2024-12-26
0100000419,Ricardo Cedeño Vera,1961-02-17,Guayaquil,2009-04-25
0100000420,Ana Cárdenas Salazar,1998-01-11,Cuenca,2011-07-19
0900000421,Mónica Vera Cedeño,1985-10-04,Cuenca,2014-08-05
1700000422,Fernando Salazar Rodríguez,2006-02-16,Quito,2011-07-12
0900000423,Daniela Peña Cárdenas,1985-10-20,Cuenca,2007-03-07
0900000424,Jorge Bravo Cárdenas,2000-02-11,Quito,2022-09-08
0100000425,Andrés Peña Mendoza,1959-09-01,Guayaquil,2015-05-09
0100000426,Ana Aguirre Rodríguez,2012-05-21,Quito,2013-07-29
0100000427,Valentina Bravo Rodríguez,2002-02-20,Guayaquil,2018-05-05
1700000428,Andrés Rodríguez Bravo,1964-09-28,Guayaquil,2014-07-05
0900000429,Mónica Loor Peña,2010-03-06,Guayaquil,2012-05-07
1700000430,Sofía Chávez Salazar,2006-06-17,Quito,2005-09-05
0900000431,Daniela Villamar Aguirre,1978-04-17,Quito,2013-07-04
0100000432,Paula Mendoza Chávez,1957-08-12,Quito,2005-04-24
0100000433,Patricia Zambrano Chávez,1996-10-01,Cuenca,2011-07-16
1700000434,Xavier Rodríguez Loor,1977-02-01,Quito,2017-11-07
0100000435,María Loor Mendoza,2014-10-04,Cuenca,2007-06-06
1700000436,Xavier Salazar Cárdenas,1964-01-16,Guayaquil,2019-07-15
0900000437,Luis Salazar Rodríguez,1998-10-31,Cuenca,2018-04-08
1700000438,Esteban Chávez Chávez,1957-01-08,Cuenca,2006-03-20
0900000439,Ricardo Cedeño Suárez,2005-07-27,Guayaquil,2013-04-18
1700000440,Esteban Villamar Rodríguez,2012-12-09,Quito,2016-08-20
1700000441,Xavier Peña Peña,1992-07-01,Cuenca,2012-03-18
0100000442,Daniela Bravo Cedeño,1978-01-11,Quito,2019-08-17
0900000443,Ana Peña Chávez,1969-03-05,Cuenca,2008-04-28
0900000444,Andrés Vera Zambrano,1996-05-04,Guayaquil,2005-10-04
0100000445,Sofía Rodríguez Salazar,2003-04-08,Cuenca,2007-08-31
0100000446,Patricia Aguirre Zambrano,1988-12-06,Cuenca,2018-06-04
0900000447,Luis Bravo Cárdenas,1968-02-25,Quito,2018-04-03
0100000448,Luis Vera Villamar,1997-01-01,Cuenca,2021-06-20
1700000449,Jorge Mendoza Salazar,2006-12-04,Quito,2017-03-18
1700000450,Diego Aguirre Mendoza,1997-04-30,Guayaquil,2022-10-18
1700000451,Xavier Cárdenas Mendoza,1997-07-17,Guayaquil,2017-05-30
0100000452,Ana Cárdenas Chávez,1990-06-27,Guayaquil,2022-08-29
1700000453,Ana Chávez Rodríguez,1972-06-27,Quito,2005-05-20
0900000454,Xavier Zambrano Villamar,2005-09-21,Quito,2021-09-17
1700000455,Iván Cárdenas Cárdenas,1986-11-05,Quito,2008-06-28
1700000456,Luis Peña Villamar,1992-10-14,Quito,2009-08-26
0900000457,Ana Bravo Loor,1987-06-13,Quito,2023-11-02
1700000458,Valentina Loor Villamar,1995-11-29,Guayaquil,2006-12-14
0900000459,Mónica Vera Salazar,1975-08-11,Quito,2011-08-09
0100000460,Carlos Villamar Bravo,2012-03-19,Guayaquil,2006-04-07
0100000461,Luis Rodríguez Peña,2003-12-24,Cuenca,2017-01-12
0100000462,Paula Cárdenas Mendoza,1983-07-30,Quito,2014-06-24
1700000463,Luis Suárez Villamar,1990-03-09,Quito,2012-08-10
0100000464,Luis Cedeño Mendoza,1993-04-02,Guayaquil,2015-05-26
1700000465,Paula Chávez Salazar,1964-04-16,Guayaquil,2013-04-18
1700000466,Andrés Bravo Aguirre,2006-07-25,Cuenca,2023-06-25
0100000467,Sofía Vera Chávez,1999-07-22,Guayaquil,2008-07-19
1700000468,Gabriela Cedeño Vera,1966-11-08,Guayaquil,2022-11-10
0100000469,Ana Bravo Peña,2014-07-02,Quito,2018-03-08
1700000470,Iván Bravo Mendoza,1999-02-07,Cuenca,2018-10-03
1700000471,María Chávez Vera,2006-09-10,Quito,2013-04-08
1700000472,Ana Mendoza Rodríguez,2004-03-28,Guayaquil,2009-03-18
1700000473,Mónica Suárez Peña,1981-06-14,Cuenca,2009-06-24
0100000474,Valentina Mendoza Chávez,1975-12-19,Quito,2012-05-23
0100000475,Andrés Loor Aguirre,1964-10-13,Cuenca,2017-08-13
0100000476,Carlos Aguirre Rodríguez,1987-03-23,Cuenca,2005-05-29
0100000477,Valentina Vera Aguirre,1988-12-18,Guayaquil,2007-11-22
1700000478,Sofía Chávez Bravo,2014-11-28,Quito,2015-07-06
1700000479,Jorge Loor Aguirre,2009-03-10,Quito,2023-11-10
0900000480,Ricardo Peña Cedeño,1981-03-31,Cuenca,2023-05-22
0900000481,María Cárdenas Aguirre,1991-06-09,Guayaquil,2012-09-05
0900000482,Esteban Bravo Bravo,2007-05-26,Guayaquil,2010-10-13
1700000483,Camila Cárdenas Bravo,1963-11-22,Guayaquil,2019-12-22
0100000484,Sofía Suárez Zambrano,1982-01-05,Quito,2024-10-20
0100000485,Paula Peña Rodríguez,1973-06-14,Quito,2018-08-13
0900000486,Carlos Aguirre Vera,1981-09-25,Quito,2005-11-23
1700000487,Patricia Cedeño Aguirre,1969-02-18,Cuenca,2018-06-24
0100000488,Carlos Rodríguez Cárdenas,2008-10-07,Guayaquil,2018-09-29
0100000489,Xavier Bravo Suárez,1960-05-22,Guayaquil,2014-05-07
0100000490,Andrés Vera Rodríguez,1997-10-11,Cuenca,2020-01-02
0900000491,Camila Vera Chávez,2008-10-24,Quito,2011-07-29
0100000492,Jorge Rodríguez Zambrano,2011-10-13,Quito,2014-11-23
0900000493,Paula Suárez Loor,2003-06-21,Guayaquil,2021-10-10
0900000494,Diego Aguirre Villamar,2004-12-14,Quito,2017-08-25
0900000495,Ana Aguirre Cedeño,2003-01-21,Cuenca,2017-08-27
1700000496,Gabriela Peña Cedeño,1961-06-12,Guayaquil,2005-10-22
0900000497,Luis Mendoza Villamar,2003-09-24,Guayaquil,2023-01-01
0100000498,Xavier Chávez Mendoza,1977-12-23,Guayaquil,2023-12-17
0900000499,Valentina Villamar Chávez,1996-08-02,Guayaquil,2021-07-15
1700000500,Fernando Cedeño Aguirre,2004-11-18,Quito,2012-01-01
0100000501,Esteban Cedeño Chávez,1974-05-03,Quito,2024-09-02
0900000502,Camila Mendoza Rodríguez,1982-07-03,Quito,2019-04-21
0900000503,Paula Vera Cedeño,1970-11-19,Quito,2010-02-03
0900000504,Patricia Suárez Chávez,2000-08-04,Guayaquil,2014-08-17
0900000505,Camila Vera Peña,2011-10-01,Cuenca,2015-01-24
0900000506,Ricardo Aguirre Aguirre,1994-06-02,Cuenca,2016-03-14
0900000507,Xavier Cedeño Salazar,1963-05-13,Guayaquil,2012-10-06
0100000508,María Bravo Suárez,1965-06-18,Cuenca,2012-10-23
0100000509,Ricardo Suárez Peña,1974-05-18,Quito,2007-12-25
0900000510,Jorge Vera Peña,1998-01-30,Cuenca,2007-03-08
1700000511,Ana Villamar Suárez,1994-09-30,Guayaquil,2011-05-31
1700000512,Ana Suárez Zambrano,2008-08-01,Guayaquil,2011-08-30
0900000513,Paula Chávez Cedeño,2005-08-14,Guayaquil,2007-02-11
1700000514,Carlos Villamar Vera,2004-05-02,Guayaquil,2023-08-14
0100000515,Esteban Cárdenas Mendoza,2011-11-15,Guayaquil,2008-09-14
0100000516,Esteban Zambrano Mendoza,2012-09-17,Guayaquil,2009-09-03
0900000517,María Vera Rodríguez,1957-03-28,Cuenca,2015-10-30
0100000518,Camila Zambrano Villamar,1998-03-14,Guayaquil,2015-03-19
1700000519,Jorge Aguirre Zambrano,1972-03-09,Cuenca,2005-03-17
0100000520,Jorge Suárez Rodríguez,2003-04-25,Quito,2016-07-19
1700000521,María Suárez Vera,1976-08-27,Quito,2011-07-06
0900000522,Iván Cedeño Rodríguez,1958-11-20,Quito,2015-09-20
0100000523,María Zambrano Aguirre,1996-06-02,Cuenca,2022-09-06
0900000524,Xavier Suárez Mendoza,2003-11-27,Cuenca,2024-03-09
0900000525,Paula Vera Vera,1975-10-19,Guayaquil,2017-04-05
0900000526,Fernando Rodríguez Salazar,2009-12-26,Guayaquil,2017-04-24
1700000527,Iván Aguirre Aguirre,1990-07-18,Quito,2020-12-07
0900000528,Esteban Cárdenas Vera,1986-08-23,Cuenca,2009-11-07
1700000529,Mónica Rodríguez Aguirre,1958-02-27,Quito,2009-10-31
0900000530,Mónica Salazar Loor,2002-01-13,Quito,2009-09-08
0900000531,Iván Vera Cárdenas,1957-08-17,Guayaquil,2023-07-12
0900000532,Sofía Vera Chávez,1997-04-26,Cuenca,2005-08-30
1700000533,Xavier Villamar Cedeño,1993-04-30,Quito,2010-04-04
0900000534,Jorge Loor Zambrano,1963-10-27,Guayaquil,2007-12-14
0100000535,Ricardo Vera Chávez,1966-05-28,Guayaquil,2010-08-16
0900000536,Ricardo Vera Loor,1978-08-01,Cuenca,2007-10-11
0100000537,Patricia Villamar Chávez,1979-11-29,Guayaquil,2008-09-30
1700000538,Patricia Loor Peña,1992-08-20,Quito,2021-08-17
0100000539,Jorge Bravo Villamar,1982-01-28,Cuenca,2019-11-29
1700000540,Camila Zambrano Mendoza,1987-04-17,Guayaquil,2012-12-26
0100000541,Esteban Mendoza Vera,2005-02-05,Cuenca,2017-02-23
0900000542,Mónica Loor Loor,1994-05-29,Guayaquil,2012-11-14
0100000543,Esteban Peña Villamar,1988-10-30,Cuenca,2009-11-08
1700000544,Xavier Bravo Bravo,1979-05-12,Quito,2022-02-16
0900000545,Paula Vera Peña,1975-03-11,Cuenca,2008-10-07
0900000546,María Cárdenas Cedeño,1977-10-22,Quito,2024-04-30
0900000547,Jorge Salazar Bravo,1974-12-31,Guayaquil,2010-03-22
0100000548,Luis Suárez Aguirre,1973-07-28,Quito,2010-04-30
1700000549,Fernando Suárez Rodríguez,1995-08-17,Cuenca,2015-12-03
1700000550,Sofía Bravo Zambrano,2001-08-01,Guayaquil,2011-06-26
0900000551,Sofía Cedeño Suárez,1956-04-11,Guayaquil,2013-04-10
1700000552,Carlos Peña Loor,1958-10-24,Quito,2020-05-15
1700000553,Esteban Bravo Salazar,1992-09-16,Quito,2012-01-21
1700000554,Xavier Vera Rodríguez,1986-01-18,Guayaquil,2008-02-15
0100000555,Luis Peña Cedeño,1982-03-24,Quito,2015-05-15
1700000556,Jorge Loor Villamar,1976-07-02,Guayaquil,2006-10-22
0900000557,Sofía Suárez Vera,1988-02-04,Guayaquil,2008-04-16
0100000558,Sofía Bravo Peña,2012-05-11,Guayaquil,2012-12-16
1700000559,Sofía Cedeño Villamar,1967-08-16,Quito,2024-04-16
1700000560,Jorge Rodríguez Cedeño,2006-12-27,Cuenca,2021-01-01
0100000561,Paula Rodríguez Mendoza,1971-09-21,Quito,2019-08-27
0900000562,Fernando Peña Vera,1974-09-12,Cuenca,2022-01-18
0900000563,Jorge Villamar Villamar,2000-05-31,Guayaquil,2018-01-28
0900000564,Andrés Rodríguez Salazar,1973-11-02,Cuenca,2016-04-06
1700000565,Esteban Suárez Cárdenas,1987-12-19,Guayaquil,2020-07-13
0900000566,Jorge Zambrano Chávez,1981-06-16,Quito,2010-01-26
0900000567,Daniela Rodríguez Aguirre,1967-11-14,Quito,2023-10-31
0900000568,Valentina Vera Rodríguez,2002-02-27,Guayaquil,2021-08-16
1700000569,Valentina Peña Aguirre,2013-08-20,Cuenca,2015-01-31
0100000570,Daniela Cedeño Loor,1992-10-14,Guayaquil,2021-01-19
0100000571,Luis Zambrano Mendoza,2007-01-10,Cuenca,2015-11-16
1700000572,Carlos Peña Cárdenas,1961-08-15,Quito,2008-08-24
0100000573,Sofía Loor Cárdenas,1956-03-02,Quito,2012-06-18
0900000574,Mónica Cedeño Rodríguez,1963-03-17,Quito,2009-12-16
0100000575,Carlos Vera Vera,1988-03-04,Quito,2006-07-08
0100000576,Ricardo Loor Suárez,1991-07-26,Quito,2009-12-31
1700000577,Mónica Bravo Rodríguez,1969-11-21,Quito,2012-09-23
0100000578,Xavier Villamar Peña,2001-04-01,Guayaquil,2016-03-19
0900000579,Ricardo Rodríguez Suárez,1963-10-18,Cuenca,2018-07-25
0100000580,Xavier Aguirre Cedeño,1999-09-19,Cuenca,2019-03-12
0100000581,Xavier Loor Cárdenas,1958-05-15,Quito,2011-10-20
0900000582,Carlos Mendoza Rodríguez,1968-01-21,Quito,2023-11-17
0100000583,Ricardo Zambrano Aguirre,2001-03-05,Cuenca,2020-08-30
1700000584,Camila Loor Rodríguez,2006-12-29,Quito,2024-06-12
0100000585,Fernando Cárdenas Peña,2001-11-02,Quito,2017-08-04
0100000586,Diego Rodríguez Vera,2004-03-31,Cuenca,2010-12-07
1700000587,Carlos Loor Mendoza,2005-09-14,Cuenca,2023-08-24
0900000588,Iván Suárez Zambrano,1983-09-23,Guayaquil,2013-03-22
0100000589,Jorge Zambrano Villamar,1964-01-21,Quito,2024-01-08
0100000590,Camila Villamar Vera,1977-10-02,Guayaquil,2015-03-16
0900000591,María Chávez Peña,2006-08-12,Quito,2010-05-13
0900000592,Xavier Zambrano Cedeño,1969-03-22,Guayaquil,2011-01-07
0100000593,Xavier Suárez Peña,1971-05-08,Quito,2009-08-16
1700000594,Ana Vera Vera,2000-06-25,Quito,2021-08-10
0900000595,Fernando Salazar Peña,1997-03-04,Quito,2010-05-01
0100000596,Gabriela Villamar Cárdenas,1970-08-24,Quito,2011-05-21
1700000597,Xavier Cárdenas Mendoza,1987-02-07,Guayaquil,2022-01-07
0900000598,Andrés Zambrano Bravo,1998-06-04,Guayaquil,2015-09-15
0900000599,Valentina Rodríguez Vera,1976-12-08,Cuenca,2024-11-11
1700000600,Carlos Suárez Zambrano,1966-11-26,Cuenca,2008-09-12
